"Metric","Value"
"schema","goal_residual_online_v5"
"checkpoint_batch","1480"
"exploring_region","6"
"training_records","1480"
"validation_records","148"
"first_batch","1"
"last_batch","1480"
"first_train_cost","1.49613058567047"
"last_train_cost","1.18738150596619"
"first_100_train_cost_mean","1.4487734913826"
"last_100_train_cost_mean","1.20928995251656"
"first_100_pos_rmse_mean","0.78272220313549"
"last_100_pos_rmse_mean","0.708072853684425"
"first_100_vel_rmse_mean","1.17965706825256"
"last_100_vel_rmse_mean","1.15583220601082"
"first_validation_batch","10"
"first_validation_cost","0.157033324241638"
"last_validation_batch","1480"
"last_validation_cost","0.234098866581917"
"last_validation_pos_rmse","0.143366128206253"
"last_validation_vel_rmse","0.612559199333191"
"best_validation_cost","0.155776098370552"
"best_validation_cost_batch","20"
"best_validation_pos_rmse","0.142953246831894"
"best_validation_pos_batch","780"
"best_validation_vel_rmse","0.594219088554382"
"best_validation_vel_batch","380"
"last_explained_variance","0.972233712673187"
"last_validation_explained_variance","0.926000118255615"
"first_100_ppo_clip_mean","0.260317192360526"
"last_100_ppo_clip_mean","0.224999590289255"
