iteration,action_loss,weighted_action_loss,actual_final_position_mse,actual_final_velocity_mse,state_error_weight_mean,state_error_weight_min,state_error_weight_max,batch_time_seconds,batch_size,action_abs,step_limit,grad_norm,grad_clip_amount,grad_clip_fraction
0,0.04594021290540695,0.04591081291437149,0.007444862741976976,2.7968881130218506,1.0,1.0,1.0,1.300822400022298,64.0,0.03791545828183492,1.59375,0.0,0.0,0.0
200,0.03870425000786781,0.03816872462630272,0.0023254300467669964,1.1094145774841309,1.0,1.0,1.0,0.3017583000473678,64.0,0.056660715490579605,1.53125,0.0,0.0,0.0
400,0.04559966176748276,0.04276994243264198,0.021534936502575874,1.6379804611206055,1.0,1.0,1.0,0.5851047001779079,64.0,0.031149890687730577,3.953125,0.0,0.0,0.0
600,0.04257798567414284,0.040930408984422684,0.018077455461025238,1.3839983940124512,1.0,1.0,1.0,0.60549550014548,64.0,0.0321543097961694,4.15625,0.0,0.0,0.0
800,0.03446246311068535,0.034286707639694214,0.0017665451159700751,1.3503633737564087,1.0,1.0,1.0,0.22228970006108284,64.0,0.06635685885945956,1.5,0.0,0.0,0.0
1000,0.03418388590216637,0.03281742334365845,0.001839416683651507,1.4430882930755615,1.0,1.0,1.0,0.2337301999796182,64.0,0.07382944226264954,1.53125,0.0,0.0,0.0
1200,0.03259389474987984,0.03136422485113144,0.0012769314926117659,1.1953164339065552,1.0,1.0,1.0,0.22639650013297796,64.0,0.07151027272144954,1.453125,0.0,0.0,0.0
1400,0.028967048972845078,0.028148125857114792,0.001298421062529087,1.3571527004241943,1.0,1.0,1.0,0.2355295999441296,64.0,0.07500558098157246,1.640625,0.0,0.0,0.0
1600,0.03060048073530197,0.02951284870505333,0.0012714985059574246,1.1221078634262085,1.0,1.0,1.0,0.22402409999631345,64.0,0.07287135347723961,1.484375,0.0,0.0,0.0
1800,0.02901908941566944,0.02804437279701233,0.0012812850764021277,1.3260514736175537,1.0,1.0,1.0,0.21768610016442835,64.0,0.0783932755390803,1.453125,0.0,0.0,0.0
2000,0.03120660036802292,0.029844220727682114,0.001588392537087202,1.4851117134094238,1.0,1.0,1.0,0.25279129995033145,64.0,0.08213941007852554,1.59375,0.0,0.0,0.0
2200,0.030633024871349335,0.02914966270327568,0.0012230444699525833,1.1746807098388672,1.0,1.0,1.0,0.2278781000059098,64.0,0.08202593525250752,1.515625,0.0,0.0,0.0
2400,0.027042951434850693,0.026478620246052742,0.0010419967584311962,1.1554278135299683,1.0,1.0,1.0,0.23694370011799037,64.0,0.09184574708342552,1.484375,0.0,0.0,0.0
2600,0.027561677619814873,0.026529956609010696,0.0009516030550003052,1.0824832916259766,1.0,1.0,1.0,0.23214620002545416,64.0,0.09619365135828654,1.4375,0.0,0.0,0.0
2800,0.02905241586267948,0.02781342715024948,0.001086440752260387,1.1437060832977295,1.0,1.0,1.0,0.23188059986568987,64.0,0.09082565208276112,1.609375,0.0,0.0,0.0
3000,0.026616644114255905,0.025951404124498367,0.0008317913743667305,1.1957505941390991,1.0,1.0,1.0,0.20476299989968538,64.0,0.09370903298258781,1.40625,0.0,0.0,0.0
3200,0.027413886040449142,0.026501592248678207,0.0007878753240220249,1.1861239671707153,1.0,1.0,1.0,0.2096027999650687,64.0,0.09371093660593033,1.484375,0.0,0.0,0.0
3400,0.02762625180184841,0.026666630059480667,0.0009125557844527066,1.1099905967712402,1.0,1.0,1.0,0.2253266000188887,64.0,0.08939378211895625,1.515625,0.0,0.0,0.0
3600,0.02643504925072193,0.02598094940185547,0.0008276591543108225,0.9018614292144775,1.0,1.0,1.0,0.22997700003907084,64.0,0.09577453881502151,1.5625,0.0,0.0,0.0
3800,0.029115382581949234,0.02748408541083336,0.0012008440680801868,0.9390102028846741,1.0,1.0,1.0,0.23022390017285943,64.0,0.0956227257847786,1.59375,0.0,0.0,0.0
4000,0.025919554755091667,0.025020290166139603,0.0009126692311838269,1.1430426836013794,1.0,1.0,1.0,0.21665260009467602,64.0,0.09877556934952736,1.46875,0.0,0.0,0.0
4200,0.027192087844014168,0.02630803734064102,0.0007084829267114401,1.32208251953125,1.0,1.0,1.0,0.21458150004036725,64.0,0.09125884373982747,1.4375,0.0,0.0,0.0
